;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV);emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;;;;;;;;;;;-1198;-3107;-587;-0.94
;;;;;;;;;;;-82;864;3033;-882
;;;;;;;;;;;-0.33;2272;2873;1216
;;;;;;;;;;;-4649;3548;453;1806
;;;;;;;;;;;-2547;7453;3355;3513
;;;;;;;;;;;39;32;961;1179
;;;;;;;;;;;1528;-2896;828;3004
;;;;;;;;;;;1566;5671;1508;3377
;;;;;;;;;;;-335;2095;-1693;-337
;;;;;;;;;;;-105;-1142;-4013;-695
;;;;;;;;;;;4177;1013;-4259;2571
;;;;;;;;;;;4289;-2026;-199;1486
;;;;;;;;;;;-372;-2952;-727;-763
;;;;;;;;;;;-573;-3162;-2477;3953
;;;;;;;;;;;-1733;-536;-274;1854
;;;;;;;;;;;-2326;-1409;-1707;-2453
;;;;;;;;;;;46;-4113;-2815;-1867
;;;;;;;;;;;-935;304;-1071;665
;;;;;;;;;;;-1212;4654;-2125;-2.56
;;;;;;;;;;;539;5222;-633;-5312
;;;;;;;;;;;636;1024;1808;3021
;;;;;;;;;;;-977;1167;2688;4084
;;;;;;;;;;;-3648;3393;5832;-388
;;;;;;;;;;;675;512;-0.24;-1998
;;;;;;;;;;;4392;2517;556;-3527
;;;;;;;;;;;-3727;171;6.12;-2006
;;;;;;;;;;;-2.96;1527;1.19;-288
;;;;;;;;;;;4305;9291;3422;-2034
;;;;;;;;;;;1957;555;1482;18
;;;;;;;;;;;176;0.01;-2176;4138
;;;;;;;;;;;667;-0.21;1465;405
;;;;;;;;;;;2.34;-3254;1.51;1158
;;;;;;;;;;;2423;2461;1274;3922
;;;;;;;;;;;-1556;-6748;1985;1341
;;;;;;;;;;;-1954;-3756;4139;1328
;;;;;;;;;;;-2348;1939;5239;-1472
;;;;;;;;;;;-3173;-612;4016;-1236
;;;;;;;;;;;2978;-1557;5.02;1964
;;;;;;;;;;;4967;-6853;935;-724
;;;;;;;;;;;-1007;-1632;-4829;-635
;;;;;;;;;;;-2132;-1.09;-5166;-242
;;;;;;;;;;;-2006;-1347;-8819;-3099
;;;;;;;;;;;-6022;1372;-8282;-2877
;;;;;;;;;;;-6148;2174;-6767;-2357
;;;;;;;;;;;-0.6;0.79;-5527;-2462
;;;;;;;;;;;-1073;-599;-1553;-1508
;;;;;;;;;;;-1316;3585;-3194;-2042
;;;;;;;;;;;4025;-656;-2.3;-3.67
;;;;;;;;;;;1023;645;-4.37;-1563
;;;;;;;;;;;3001;1975;-2877;329
;;;;;;;;;;;9492;-1949;0.31;-4034
;;;;;;;;;;;5057;-1787;-3412;1.19
;;;;;;;;;;;2568;-4.4;1819;9076
;;;;;;;;;;;929;-2496;2112;5022
;;;;;;;;;;;-1282;-756;339;7018
;;;;;;;;;;;2914;25;7452;5682
;;;;;;;;;;;994;-379;5224;-4093
;;;;;;;;;;;-4355;-0.29;3356;-2915
;;;;;;;;;;;-2.96;5.92;4.23;269
;;;;;;;;;;;-2381;5812;-904;-2204
;;;;;;;;;;;-903;2765;431;-1.54
;;;;;;;;;;;-346;-148;927;-1333
;;;;;;;;;;;-2131;-3649;-87;-3439
;;;;;;;;;;;-1295;243;-234;-258
;;;;;;;;;;;-518;2145;-3572;693
;;;;;;;;;;;906;746;-1176;-5147
;;;;;;;;;;;902;1793;-856;-4505
;;;;;;;;;;;8;-1828;-1.83;-683
;;;;;;;;;;;-839;-7.66;-1168;-503
;;;;;;;;;;;2031;-7582;-2202;3786
;;;;;;;;;;;3619;-4578;1.69;3565
;;;;;;;;;;;703;-1192;3819;1977
;;;;;;;;;;;2046;1849;1608;4706
;;;;;;;;;;;-928;1951;3885;3028
;;;;;;;;;;;-2.5;5.44;4759;2929
;;;;;;;;;;;291;8064;1047;3866
;;;;;;;;;;;-3979;-48;4974;4285
;;;;;;;;;;;-4716;-4283;4.52;4603
;;;;;;;;;;;537;3.72;-851;5503
;;;;;;;;;;;-3483;5044;1967;2329
;;;;;;;;;;;-4458;1.23;-414;226
;;;;;;;;;;;1013;5.38;2545;3328
;;;;;;;;;;;-3597;4697;3227;3734
;;;;;;;;;;;-475;-3226;-3064;7602
;;;;;;;;;;;3216;-1283;3923;3764
;;;;;;;;;;;-1918;3808;3559;2691
;;;;;;;;;;;782;-1253;1594;3583
;;;;;;;;;;;2671;-4416;4002;-11629
;;;;;;;;;;;1592;-4305;-832;-21212
;;;;;;;;;;;858;-373;-4724;-23.23
;;;;;;;;;;;-403;2.03;-6574;-21245
;;;;;;;;;;;1838;-2675;-4116;-13696
;;;;;;;;;;;4043;-615;-3363;-2655
;;;;;;;;;;;2581;-2142;-6553;1655
;;;;;;;;;;;2552;-6107;-9582;-2423
;;;;;;;;;;;3203;-1772;-9118;1402
;;;;;;;;;;;1152;806;-9699;4022
;;;;;;;;;;;772;-1405;-8901;4107
;;;;;;;;;;;2783;-1586;-3589;4365
;;;;;;;;;;;1576;-3959;-2907;3682
;;;;;;;;;;;-1905;-7254;-471;1703
;;;;;;;;;;;-3535;-128;-301;-2878
;;;;;;;;;;;-3729;5336;5684;2.19
;;;;;;;;;;;-2244;3.88;11415;6.07
;;;;;;;;;;;412;2453;2375;5785
;;;;;;;;;;;2295;1747;1682;2955
;;;;;;;;;;;-1701;-312;4.84;139
;;;;;;;;;;;-2356;2.5;1395;6315
;;;;;;;;;;;2365;3383;3825;3.75
;;;;;;;;;;;-946;-3236;7459;3805
;;;;;;;;;;;-2.68;-1.77;5605;4436
;;;;;;;;;;;3364;-65;7423;-1617
;;;;;;;;;;;4732;2599;4246;2344
;;;;;;;;;;;-1745;2944;1.08;2252
;;;;;;;;;;;-3138;-2201;3055;611
;;;;;;;;;;;-831;-113;-2.51;3101
;;;;;;;;;;;-1763;2038;-3979;2.24
;;;;;;;;;;;31;209;-3393;1034
;;;;;;;;;;;-469;-241;-1.48;3977
;;;;;;;;;;;-2167;914;-1474;2355
;;;;;;;;;;;681;174;-1884;-3598
;;;;;;;;;;;-1235;5004;3417;1009
;;;;;;;;;;;-4496;6479;-2268;4019
;;;;;;;;;;;-248;3063;-3964;62
;;;;;;;;;;;-605;3.47;349;-865
;;;;;;;;;;;-2307;1041;-2012;-0.62
;;;;;;;;;;;3152;3609;-209;-2759
;;;;;;;;;;;1783;1886;48;-1.25
;;;;;;;;;;;663;-2275;-853;1564
;;;;;;;;;;;2749;-593;2202;-2047
;;;;;;;;;;;1212;-4963;1525;-6236
;;;;;;;;;;;3618;-6378;-1735;-6239
;;;;;;;;;;;1795;-4493;-2.27;-4574
;;;;;;;;;;;1243;-3126;513;-4.64
;;;;;;;;;;;2489;-3985;121;-2748
;;;;;;;;;;;1734;-6171;-3402;-3335
;;;;;;;;;;;3325;-0.42;-3581;-3973
;;;;;;;;;;;-1.02;-46;-1178;-2196
;;;;;;;;;;;1151;-3.11;2019;-2246
;;;;;;;;;;;2369;-3103;1054;-1105
;;;;;;;;;;;1957;-2903;-1577;-3807
;;;;;;;;;;;2872;123;278;-3097
;;;;;;;;;;;-551;-2.89;958;-2494
;;;;;;;;;;;609;-5748;-355;-2048
;;;;;;;;;;;-3281;-6068;339;4841
;;;;;;;;;;;1668;-2333;-788;1993
;;;;;;;;;;;127;3087;-384;-196
;;;;;;;;;;;-6473;1034;2069;2852
;;;;;;;;;;;-2343;3.16;1894;889
;;;;;;;;;;;-8626;4295;2012;3629
;;;;;;;;;;;-4348;6.52;1115;5.02
;;;;;;;;;;;-1735;7462;2002;1288
;;;;;;;;;;;-5911;-2231;499;2955
;;;;;;;;;;;-4073;1.35;1898;5108
;;;;;;;;;;;-7218;4563;3253;3.9
;;;;;;;;;;;-6129;1413;-4539;2832
;;;;;;;;;;;-2309;8366;-2905;1672
;;;;;;;;;;;-1537;4666;-1885;657
;;;;;;;;;;;-3578;2903;-2692;-675
;;;;;;;;;;;-2552;5081;786;-1396
;;;;;;;;;;;-1727;3424;625;-71
;;;;;;;;;;;-3114;5827;575;-263
;;;;;;;;;;;-5833;628;-2341;432
;;;;;;;;;;;-3384;3796;-2.42;0.92
;;;;;;;;;;;2711;3813;675;-2185
;;;;;;;;;;;-414;-4256;4069;-1031
;;;;;;;;;;;2391;-2.24;3605;1406
;;;;;;;;;;;2.69;-3155;1438;2977
;;;;;;;;;;;2.33;-1995;436;2074
;;;;;;;;;;;5963;-2.28;-1239;3595
;;;;;;;;;;;5432;-4.63;514;6017
;;;;;;;;;;;9395;-1663;-976;-2293
;;;;;;;;;;;5425;-956;777;866
;;;;;;;;;;;6679;-4336;-836;3855
;;;;;;;;;;;8447;-6436;-5006;-4311
;;;;;;;;;;;6769;-4.09;-749;-2435
;;;;;;;;;;;14507;-2654;-1544;-3537
;;;;;;;;;;;12459;-896;-669;-2574
;;;;;;;;;;;11204;-5001;1894;3071
;;;;;;;;;;;14353;-7055;2459;417
;;;;;;;;;;;13667;-4236;2254;-2989
;;;;;;;;;;;9342;-7144;-659;-5777
;;;;;;;;;;;9213;-3475;-0.43;-6309
;;;;;;;;;;;9754;-4123;-834;-5.8
;;;;;;;;;;;6725;-5903;-14;-3753
;;;;;;;;;;;9365;-894;1956;289
;;;;;;;;;;;6.01;0.67;3422;-1371
;;;;;;;;;;;7961;-398;4716;95
;;;;;;;;;;;7059;-2242;3615;973
;;;;;;;;;;;2155;3516;1383;-313
;;;;;;;;;;;-2361;3968;469;3402
;;;;;;;;;;;-8274;4521;4325;2109
;;;;;;;;;;;-6905;10342;3183;-175
;;;;;;;;;;;-14016;5424;-4932;-1806
;;;;;;;;;;;-16093;4868;-6667;-3641
;;;;;;;;;;;-20787;12153;-4913;-2671
;;;;;;;;;;;-21175;6185;-7.45;-934
;;;;;;;;;;;-27963;16;-8028;-293
;;;;;;;;;;;-34835;8106;-5201;-1382
;;;;;;;;;;;-38184;9155;-2063;-671
;;;;;;;;;;;-50777;7286;-2899;1.14
;;;;;;;;;;;-48509;9133;-5538;2419
;;;;;;;;;;;-68075;12531;-494;545
;;;;;;;;;;;-56.67;9589;3105;-286
;;;;;;;;;;;-82105;14184;1986;3133
;;;;;;;;;;;-69892;13886;2417;3413
;;;;;;;;;;;68.65;-18738;4464;-138
;;;;;;;;;;;80538;-21068;4826;1076
;;;;;;;;;;;55553;-12262;3789;3204
;;;;;;;;;;;62848;-18669;4264;1839
;;;;;;;;;;;47352;-15255;6103;937
;;;;;;;;;;;53955;-19386;6886;-462
;;;;;;;;;;;42923;-15029;2255;2251
;;;;;;;;;;;37067;-11261;3373;3503
;;;;;;;;;;;29.02;-8312;1626;0.84
;;;;;;;;;;;25592;-564;-3.33;1594
;;;;;;;;;;;20771;-1285;-1794;5725
;;;;;;;;;;;13.63;3546;-4063;3205
;;;;;;;;;;;12449;5899;-1816;-1731
;;;;;;;;;;;6942;4306;-4923;2246
;;;;;;;;;;;7895;3826;-4699;3029
;;;;;;;;;;;-1254;-1194;3494;1712
;;;;;;;;;;;-4515;1567;-1392;-1451
;;;;;;;;;;;-5305;5642;-3.24;-1696
;;;;;;;;;;;-9058;5168;-1271;379
;;;;;;;;;;;-11578;6416;-405;-2077
;;;;;;;;;;;-11929;5384;-1.3;-576
;;;;;;;;;;;-10822;7235;-3393;-2681
;;;;;;;;;;;-13403;5396;1651;-1228
;;;;;;;;;;;-9105;1.79;26;2616
;;;;;;;;;;;-10732;2313;-1.56;1378
;;;;;;;;;;;-12565;5267;3594;1597
;;;;;;;;;;;-10329;8.61;-1603;-2183
;;;;;;;;;;;-12079;8307;-2026;-5617
;;;;;;;;;;;-12369;8954;1607;-2852
;;;;;;;;;;;-10.91;4778;-1535;-3567
;;;;;;;;;;;-4684;3233;1952;-3781
;;;;;;;;;;;-3101;1004;1.97;1571
;;;;;;;;;;;-5889;-2627;-0.62;-1855
;;;;;;;;;;;-1128;-2785;-683;-2622
;;;;;;;;;;;2317;-5758;-0.07;-3102
;;;;;;;;;;;1027;-3.35;2897;-7057
;;;;;;;;;;;1308;-6237;3.49;-4321
;;;;;;;;;;;171;-6849;3511;-5645
;;;;;;;;;;;178;-3966;798;0.66
;;;;;;;;;;;-731;-10345;1089;4774
;;;;;;;;;;;-1163;-11044;1145;-581
;;;;;;;;;;;1269;-7865;1643;-3296
;;;;;;;;;;;-2738;-8805;1548;-2057
;;;;;;;;;;;-142;-8.75;-1115;4198
;;;;;;;;;;;1652;-6366;5117;2295
;;;;;;;;;;;-2039;-3754;2013;-357
;;;;;;;;;;;-263;-3737;-0.54;213
;;;;;;;;;;;-1411;-1953;4951;-1632
;;;;;;;;;;;3788;5101;2875;1118
;;;;;;;;;;;4895;-0.01;1.67;9439
;;;;;;;;;;;4437;-1584;-177;11398
;;;;;;;;;;;7827;2346;1472;1917
;;;;;;;;;;;4603;-2392;-0.52;-8765
;;;;;;;;;;;4479;2.18;-7974;-8899
;;;;;;;;;;;1158;2715;-7348;-847
;;;;;;;;;;;1053;5573;-8285;-1417
;;;;;;;;;;;368;10906;-8266;1.21
;;;;;;;;;;;-2.53;9186;-5704;2986
;;;;;;;;;;;-618;7134;-6.26;3378
;;;;;;;;;;;-3308;6583;-296;10642
;;;;;;;;;;;-4665;13194;1831;5501
;;;;;;;;;;;-4.39;9931;-1326;3169
;;;;;;;;;;;-2443;7579;3748;4469
;;;;;;;;;;;-2592;6992;3541;5114
;;;;;;;;;;;-3218;2.42;-501;3434
;;;;;;;;;;;-768;4129;-992;-2129
;;;;;;;;;;;-942;3604;-1.72;2469
;;;;;;;;;;;-1753;1545;-2502;2884
;;;;;;;;;;;1.22;-1387;-3007;1538
;;;;;;;;;;;3.85;-687;2178;-1361
;;;;;;;;;;;213;-3.39;4895;-2592
;;;;;;;;;;;675;-5718;0.78;626
;;;;;;;;;;;2337;-5439;-2557;-866
;;;;;;;;;;;908;-10625;-541;-324
;;;;;;;;;;;-1396;-7457;2429;-5672
;;;;;;;;;;;-1.8;-6313;1298;-7366
;;;;;;;;;;;-1524;-9419;1.45;-1536
;;;;;;;;;;;-1454;-5.15;185;829
;;;;;;;;;;;2061;-2138;669;-3656
;;;;;;;;;;;-1172;-977;2361;-6768
;;;;;;;;;;;52;-1077;3.13;-2613
;;;;;;;;;;;2232;-6.07;4839;-2625
;;;;;;;;;;;-1629;-6304;-427;-1428
;;;;;;;;;;;-3379;-5022;-1561;-2113
;;;;;;;;;;;-3261;-5536;-769;-3.29
;;;;;;;;;;;566;5226;-1.45;-1.97
;;;;;;;;;;;-1966;7418;5202;-2267
;;;;;;;;;;;-1375;-1;2075;-5015
;;;;;;;;;;;2191;1.86;2115;-4724
;;;;;;;;;;;2888;3858;8982;1.26
;;;;;;;;;;;6.16;5546;2295;-1512
;;;;;;;;;;;6903;1413;742;-1559
;;;;;;;;;;;9953;-3065;2718;1315
;;;;;;;;;;;13479;-1124;-1235;4883
;;;;;;;;;;;10411;-2.47;-2.68;7.06
;;;;;;;;;;;7.07;-599;-3257;1954
;;;;;;;;;;;10392;1148;-4594;3634
;;;;;;;;;;;12253;-37;-2361;1867
;;;;;;;;;;;12643;1637;42;382
;;;;;;;;;;;13684;576;-1637;1572
;;;;;;;;;;;10651;-973;1868;369
;;;;;;;;;;;8329;-1846;2094;1198
;;;;;;;;;;;10277;-3564;655;-2639
;;;;;;;;;;;5.38;-1178;-233;-2195
;;;;;;;;;;;-0.9;59;-3839;525
;;;;;;;;;;;1559;2546;-2331;719
;;;;;;;;;;;-4294;6847;-2538;603
;;;;;;;;;;;-9668;6225;1965;753
;;;;;;;;;;;-8768;4479;1476;3745
;;;;;;;;;;;-13406;643;-2851;1005
;;;;;;;;;;;-16906;5202;-925;3791
;;;;;;;;;;;-19333;7371;-4.64;4551
;;;;;;;;;;;-31331;2.79;-3477;-2317
;;;;;;;;;;;-27636;11027;-3518;2094
;;;;;;;;;;;-30.31;9.53;-3051;891
;;;;;;;;;;;-44205;5383;3555;2715
;;;;;;;;;;;-38705;7005;3.42;4324
;;;;;;;;;;;-55888;2627;4.28;75
;;;;;;;;;;;-51065;4491;3613;5004
;;;;;;;;;;;-67.56;2686;1747;235
;;;;;;;;;;;-52863;-1122;613;-0.2
;;;;;;;;;;;60471;-3.64;-4036;0.2
;;;;;;;;;;;72407;-3801;-2495;-2.28
;;;;;;;;;;;51812;-3939;-732;166
;;;;;;;;;;;60.51;-12916;-2637;-4.59
;;;;;;;;;;;41577;-13506;-3673;-2772
;;;;;;;;;;;44899;-16226;-2.9;-1.15
;;;;;;;;;;;41309;-23086;-505;637
;;;;;;;;;;;33033;-19863;-189;1883
;;;;;;;;;;;25674;-20399;2631;-2044
;;;;;;;;;;;16682;-17595;2485;-1533
;;;;;;;;;;;12791;-5489;-456;-1762
;;;;;;;;;;;2506;-98;-936;-2047
;;;;;;;;;;;-3402;85;-3.65;-4795
;;;;;;;;;;;-6393;5017;-4219;-5768
;;;;;;;;;;;-10161;8628;-806;-5015
;;;;;;;;;;;-10351;10142;1895;-3493
;;;;;;;;;;;-16075;13997;-1109;699
;;;;;;;;;;;-19145;12272;1986;-1425
;;;;;;;;;;;-29723;13134;7824;-2993
;;;;;;;;;;;-24072;11465;2163;0.43
;;;;;;;;;;;7808;-3143;1431;2372
;;;;;;;;;;;5358;-4584;2404;2138
;;;;;;;;;;;1153;5262;1259;1352
;;;;;;;;;;;1.53;7154;5797;743
;;;;;;;;;;;-3908;4625;7281;3099
;;;;;;;;;;;-1366;6599;6198;2534
;;;;;;;;;;;-4864;7344;4097;1398
;;;;;;;;;;;-3019;6029;0.5;1449
;;;;;;;;;;;-8315;10335;-2128;-3723
;;;;;;;;;;;-6475;8.59;-2128;-2525
;;;;;;;;;;;-2118;7312;-2134;193
;;;;;;;;;;;-5.87;2126;-1759;-288
;;;;;;;;;;;-1593;1157;1016;1077
;;;;;;;;;;;1402;8321;1.56;1816
;;;;;;;;;;;2595;973;1136;-814
;;;;;;;;;;;5683;2.56;-1411;-2519
;;;;;;;;;;;10403;3717;-1.84;-2245
;;;;;;;;;;;9803;-3015;-1417;-4089
;;;;;;;;;;;12333;-11972;-1825;-141
;;;;;;;;;;;13724;-20969;1548;321
;;;;;;;;;;;14107;-12061;1158;2258
;;;;;;;;;;;11.36;-14544;1279;1.72
;;;;;;;;;;;2965;-18041;-2083;-1423
;;;;;;;;;;;8882;-8356;-5384;6477
;;;;;;;;;;;9382;-8475;-5.33;4062
;;;;;;;;;;;6129;-8419;-9264;2344
;;;;;;;;;;;8674;-5077;-5.5;3358
;;;;;;;;;;;2768;-2256;-4157;4592
;;;;;;;;;;;-5202;-1837;-5768;5839
;;;;;;;;;;;-4666;-5.13;-2211;733
;;;;;;;;;;;-7475;-1896;-0.14;2388
;;;;;;;;;;;-13378;1466;-3236;-89
;;;;;;;;;;;-7.32;-2143;-4132;2192
;;;;;;;;;;;-4964;-4056;2124;5282
;;;;;;;;;;;-7929;-5529;717;1973
;;;;;;;;;;;-9.98;-286;1542;1635
;;;;;;;;;;;-12654;9677;5322;1494
;;;;;;;;;;;-18786;15688;4101;1412
;;;;;;;;;;;-21793;19035;3777;-2445
;;;;;;;;;;;-24792;19129;3459;-1.58
;;;;;;;;;;;-29328;16473;5539;-6692
;;;;;;;;;;;-27735;10029;5656;-7562
;;;;;;;;;;;-22759;11.17;1.49;-1798
;;;;;;;;;;;-15349;10034;-1603;-4515
;;;;;;;;;;;-23042;6035;829;-2929
;;;;;;;;;;;-18742;10075;301;-4943
;;;;;;;;;;;-29344;3957;328;-3857
;;;;;;;;;;;-22937;-2029;2.35;-5778
;;;;;;;;;;;45251;-4434;2895;-7751
;;;;;;;;;;;51946;-10851;4713;-729
;;;;;;;;;;;34901;-13045;-792;-2467
;;;;;;;;;;;40094;-13.34;-1797;-1947
;;;;;;;;;;;31761;-12669;-1449;-3498
;;;;;;;;;;;31464;-12623;-1896;-3199
;;;;;;;;;;;23122;-6393;1075;4539
;;;;;;;;;;;20626;-2614;-1905;4748
;;;;;;;;;;;20983;-6503;776;3.24
;;;;;;;;;;;11104;-1892;4202;327
;;;;;;;;;;;9906;2474;806;1902
;;;;;;;;;;;9153;4755;-2074;5081
;;;;;;;;;;;-689;2226;-1945;571
;;;;;;;;;;;-0.79;1743;0.86;557
;;;;;;;;;;;1828;5198;1653;2364
;;;;;;;;;;;-572;1263;793;2.16
;;;;;;;;;;;-3804;5257;-845;1166
;;;;;;;;;;;-8922;3363;-2166;675
;;;;;;;;;;;-2106;-811;-332;3149
;;;;;;;;;;;-4392;-988;-1778;2307
;;;;;;;;;;;-8625;-7084;-3048;2128
;;;;;;;;;;;-5358;-5398;-1088;994
;;;;;;;;;;;-8313;-4509;-2856;1112
;;;;;;;;;;;-8598;-6643;-3222;2988
;;;;;;;;;;;-7666;-5431;-5839;42
;;;;;;;;;;;-4833;1428;-5223;-896
;;;;;;;;;;;-9963;5649;439;-1.07
;;;;;;;;;;;-9582;3325;-1087;1601
;;;;;;;;;;;-6013;1207;0.72;945
;;;;;;;;;;;-10792;2029;2921;-1953
;;;;;;;;;;;-5005;5983;1231;62
;;;;;;;;;;;-5655;3696;3678;-2458
;;;;;;;;;;;-6917;7672;1978;-3636
;;;;;;;;;;;-3599;11526;-1874;-3055
;;;;;;;;;;;-5622;9261;-0.16;-925
;;;;;;;;;;;-1682;10316;1713;2434
;;;;;;;;;;;-4229;7587;886;-1.13
;;;;;;;;;;;-3104;3262;-855;-1295
;;;;;;;;;;;3407;-3478;1938;4.85
;;;;;;;;;;;1.27;-6586;2.83;4314
;;;;;;;;;;;4962;-11446;-174;1504
;;;;;;;;;;;5254;-16308;519;854
;;;;;;;;;;;3.44;-16052;0.67;-2.01
;;;;;;;;;;;5.83;-19942;4511;-2439
;;;;;;;;;;;4876;-20139;4508;-2625
;;;;;;;;;;;6.19;-14514;-658;-2565
;;;;;;;;;;;2999;-8.23;2188;-277
;;;;;;;;;;;289;-6128;3378;353
;;;;;;;;;;;0.81;-1.95;-67;-1029
;;;;;;;;;;;-2555;2343;-1904;35
;;;;;;;;;;;1351;4642;-2244;1342
;;;;;;;;;;;3877;8079;-1121;-518
;;;;;;;;;;;1545;8237;-1302;0.69
;;;;;;;;;;;1159;8198;-3.46;-1303
;;;;;;;;;;;-1639;8684;-396;-3051
;;;;;;;;;;;-1499;11977;0.37;-2256
;;;;;;;;;;;-1922;12131;-2672;-3821
;;;;;;;;;;;-1106;10052;-1904;-225
;;;;;;;;;;;-2207;12545;-5072;1387
;;;;;;;;;;;-3926;14477;-1074;1741
;;;;;;;;;;;0.74;10087;1671;3.33
;;;;;;;;;;;-0.78;12662;-3361;542
;;;;;;;;;;;821;17169;2233;-1029
;;;;;;;;;;;2231;7493;413;-795
;;;;;;;;;;;-2014;6044;-3362;673
;;;;;;;;;;;-911;8166;4092;759
;;;;;;;;;;;-1723;10.34;3327;-0.75
;;;;;;;;;;;-3907;8618;1554;2099
;;;;;;;;;;;-1476;-1011;3802;882
;;;;;;;;;;;2558;-279;-1013;152
;;;;;;;;;;;1771;-6699;-1957;2476
;;;;;;;;;;;3.1;-12373;-522;-1948
;;;;;;;;;;;4972;-9882;-4711;885
;;;;;;;;;;;738;-12404;-75;2066
;;;;;;;;;;;5112;-10506;4825;-921
;;;;;;;;;;;7687;-6697;271;3089
;;;;;;;;;;;8416;-14634;-975;3132
;;;;;;;;;;;17681;-29222;454;1179
;;;;;;;;;;;11893;-31437;-516;-2314
;;;;;;;;;;;5974;-27677;0.45;-649
;;;;;;;;;;;6387;-20.91;47;1348
;;;;;;;;;;;159;-17365;-2778;-2541
;;;;;;;;;;;-1933;-19989;644;-1081
;;;;;;;;;;;-5921;-13556;112;1515
;;;;;;;;;;;-7024;-13247;-1929;-228
;;;;;;;;;;;-12127;-10.01;0.02;-832
;;;;;;;;;;;-15.27;2506;1443;844
;;;;;;;;;;;-9013;5641;6273;-3332
;;;;;;;;;;;-11508;15108;1475;-1052
;;;;;;;;;;;-11805;24231;-2.67;372
;;;;;;;;;;;-8148;21.61;1291;-3.01
;;;;;;;;;;;-5111;24324;-2275;1252
;;;;;;;;;;;-5.1;28256;-2081;-2059
;;;;;;;;;;;-4464;27583;1188;-3671
;;;;;;;;;;;-2151;25876;-2379;-1241
;;;;;;;;;;;-3.91;21821;-1615;-2144
;;;;;;;;;;;-5227;17577;0.47;-382
;;;;;;;;;;;-3594;13314;-1506;2601
;;;;;;;;;;;1182;9515;333;741
;;;;;;;;;;;2646;5245;1513;-1889
;;;;;;;;;;;7821;1675;3331;-0.79
;;;;;;;;;;;8812;-2325;4409;-3348
;;;;;;;;;;;5309;-9016;166;1206
;;;;;;;;;;;5897;-9406;1091;1396
;;;;;;;;;;;5804;-7123;3082;-2605
;;;;;;;;;;;12.53;-9932;829;3286
;;;;;;;;;;;9252;-11027;2823;3.03
;;;;;;;;;;;4122;-10202;3619;2473
;;;;;;;;;;;6502;-14478;-0.59;2647
;;;;;;;;;;;-964;-10361;185;2088
;;;;;;;;;;;786;-5127;-948;2418
;;;;;;;;;;;6357;-7406;-6459;-983
;;;;;;;;;;;-1593;-1497;-7417;-664
;;;;;;;;;;;-1735;-7458;-4053;2418
;;;;;;;;;;;2.54;-6848;-4584;2698
;;;;;;;;;;;-0.7;5006;-7966;-74
;;;;;;;;;;;-2187;134;-1724;219
;;;;;;;;;;;237;2405;-2719;749
;;;;;;;;;;;2.6;843;-5097;-1963
;;;;;;;;;;;-1896;-2946;2584;-1275
;;;;;;;;;;;-1749;1422;584;-805
;;;;;;;;;;;-783;-1916;1.88;4
;;;;;;;;;;;-3129;-1143;6061;576
;;;;;;;;;;;623;-0.78;4403;-1584
;;;;;;;;;;;-1661;-642;5236;2139
;;;;;;;;;;;-3825;3464;7013;3175
;;;;;;;;;;;-3479;2942;7434;-2316
;;;;;;;;;;;-1962;1545;3495;-1124
;;;;;;;;;;;-5354;3466;412;-523
;;;;;;;;;;;-9382;5732;-22;-2208
;;;;;;;;;;;-971;0.96;-424;1338
;;;;;;;;;;;1455;582;-3522;-0.13
;;;;;;;;;;;506;1626;-4.31;-2903
;;;;;;;;;;;-0.24;-4724;-836;-1105
;;;;;;;;;;;-995;-3.75;-2;-938
;;;;;;;;;;;1036;-4025;-1217;4029
;;;;;;;;;;;526;-9055;-2669;4159
;;;;;;;;;;;-715;-6482;-4.73;-179
;;;;;;;;;;;-1218;994;-85;3145
;;;;;;;;;;;765;3395;873;1632
;;;;;;;;;;;-112;4757;-353;-958
;;;;;;;;;;;-682;4.13;193;-2814
;;;;;;;;;;;-2228;-878;2655;-2096
;;;;;;;;;;;-2079;4929;2.53;-1145
;;;;;;;;;;;1812;8773;-386;-6.5
;;;;;;;;;;;-472;8743;-1.23;-2577
;;;;;;;;;;;-163;9227;-369;1215
;;;;;;;;;;;987;9262;1337;2055
;;;;;;;;;;;1144;9822;2607;2677
;;;;;;;;;;;5375;259;1064;329
;;;;;;;;;;;2646;1305;-3796;1068
;;;;;;;;;;;-2628;3339;-2063;-1672
;;;;;;;;;;;1206;-1086;2008;-3577
;;;;;;;;;;;1683;-2881;1109;-3911
;;;;;;;;;;;-171;-9835;1647;-2097
;;;;;;;;;;;3002;-9058;1242;-93
;;;;;;;;;;;1545;-9623;-1711;-781
;;;;;;;;;;;1352;-12139;-1745;725
;;;;;;;;;;;3281;-12673;-1868;251
;;;;;;;;;;;2854;-9.2;-1.72;-1.33
;;;;;;;;;;;2007;-3428;1156;-2109
;;;;;;;;;;;1287;-6558;-1716;-83
;;;;;;;;;;;845;-3299;1128;1456
;;;;;;;;;;;-316;1879;4501;1307
;;;;;;;;;;;-214;6182;1041;1879
;;;;;;;;;;;-1938;10039;1594;2704
