name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;-178.61;163.4;3.747;-0.253;-2.762;4.083
;-178.61;163.39;0.071;-4.252;-2.886;3.881
;-178.6;163.39;4.279;-1.148;-1.872;5.057
;-178.6;163.38;3.196;-4.408;-1.952;4.283
;-178.6;163.38;4.624;-1.969;-0.686;2.721
;-178.6;163.37;5.848;1.26;-1.15;4.331
;-178.6;163.36;1.667;-2.628;-2.335;6.296
;-178.6;163.36;8.214;0.444;-0.427;4.123
;-178.6;163.35;10.754;-0.036;-0.779;3.432
;-178.59;163.35;7.376;-3.726;-2.763;0.73
;-178.59;163.34;7.273;-6.515;0.768;0.222
;-178.59;163.34;6.519;-5.015;1.17;0.459
;-178.59;163.33;3.562;-0.56;-0.887;-0.296
;-178.59;163.33;-0.428;-0.241;-0.884;3.41
;-178.59;163.32;2.724;2.374;-5.793;1.929
;-178.59;163.31;2.01;1.516;-2.802;0.327
;-178.58;163.31;-1.392;2.178;1.478;0.913
;-178.58;163.3;-1.485;3.495;1.474;3.38
;-178.58;163.29;-2.603;4.914;2.545;-0.015
;-178.58;163.29;1.403;8.878;-0.471;-2.998
;-178.58;163.28;-0.817;1.355;0.542;5.522
;-178.58;163.27;-1.727;-0.825;0.559;2.622
;-178.58;163.26;1.051;-2.216;1.597;-0.848
;-178.58;163.26;-1.794;-1.138;1.538;1.814
;-178.58;163.25;0.088;0.54;-0.53;-0.732
;-178.58;163.24;-1.998;-4.501;2.543;-2.185
;-178.58;163.24;-3.616;3.551;0.251;-0.451
;-178.58;163.23;0.7;-1.663;0.523;0.058
;-178.59;163.23;-0.839;-2.522;0.875;-3.255
;-178.59;163.22;-2.887;4.484;-1.495;-0.54
;-178.59;163.21;-0.892;0.547;-1.647;-0.018
;-178.59;163.21;-0.365;1.844;-3.605;-3.909
;-178.59;163.2;-0.803;-2.802;-1.069;-3.082
;-178.59;163.19;-0.881;2.768;0.285;-3.893
;-178.59;163.19;-0.66;5.945;-0.422;-3.21
;-178.6;163.18;-1.297;0.895;0.947;-0.517
;-178.6;163.17;-3.583;2.421;0.277;-0.385
;-178.6;163.17;-1.605;-1.049;-1.565;-3.05
;-178.6;163.16;-3.415;-0.77;0.983;-0.731
;-178.6;163.16;-4.906;-0.296;2.04;3.832
;-178.6;163.15;-0.135;-3.457;-1.404;1.975
;-178.6;163.14;-1.979;-3.141;2.557;1.549
;-178.6;163.14;-2.982;0.483;2.365;-1.377
;-178.6;163.13;-2.021;-0.288;-0.03;-0.825
;-178.6;163.13;-2.776;1.596;0.026;1.669
;-178.6;163.12;-4.961;5.393;-2.656;-0.364
;-178.6;163.11;-2.657;2.656;0.821;1.979
;-178.6;163.11;4.639;1.832;-2.199;-0.204
;-178.6;163.1;3.526;0.307;-1.465;-0.473
;-178.61;163.09;2.123;-1.58;1.445;-0.272
;-178.61;163.09;0.479;-2.527;-0.762;-2.749
;-178.61;163.08;-0.332;-1.732;5.279;-0.414
;-178.61;163.08;0.681;0.291;-0.17;1.127
;-178.61;163.07;0.178;1.291;-3.028;2.598
;-178.61;163.07;4.282;-0.38;0.406;1.8
;-178.61;163.06;6.618;-1.89;-2.059;2.671
;-178.61;163.05;5.168;1.741;1.117;-0.758
;-178.61;163.05;3.622;-2.178;1.899;-6.375
;-178.61;163.04;6.305;-5.541;2.061;-0.346
;-178.61;163.04;6.734;-2.743;-0.418;3.088
;-178.61;163.03;4.391;-9.838;-2.943;0.017
;-178.62;163.03;3.866;-9.783;0.301;0.236
;-178.62;163.02;5.324;-4.949;1.368;0.352
;-178.62;163.01;4.434;-7.901;1.123;0.456
;-178.62;163.01;-3.365;-0.105;2.538;0.629
;-178.62;163;-3.823;6.059;-0.911;-2.359
;-178.62;163;-3.218;7.717;-5.678;0.775
;-178.63;162.99;-5.644;7.606;0.383;1.103
;-178.63;162.99;-6.389;3.072;1.353;-2.361
;-178.63;162.98;-7.436;6.074;-1.228;1.663
;-178.63;162.98;-3.411;1.355;2.194;0.436
;-178.63;162.97;-0.238;1.488;0.264;-0.71
;-178.64;162.96;-3.311;2.654;0.063;0.017
;-178.64;162.96;-2.708;-6.179;1.636;0.017
;-178.64;162.95;0.163;-2.162;-1.867;2.693
;-178.64;162.94;-2.587;-1.543;-0.271;0.6
;-178.64;162.94;-2.273;2.337;2.585;-0.604
;-178.64;162.93;-2.846;0.08;0.702;0.908
;-178.65;162.93;-1.576;-8.482;1.036;-0.541
;-178.65;162.92;-0.193;1.83;-1.505;-2.187
;-178.65;162.92;-1.052;-0.726;-0.506;-3.261
;-178.65;162.91;2.507;0.592;2.49;-2.483
;-178.65;162.9;-0.868;4.21;0.867;0.384
;-178.65;162.9;-0.796;-0.687;0.51;0.151
;-178.65;162.89;2.03;6.496;-1.101;1.009
;-178.65;162.89;2.174;4.058;-1.261;-0.255
;-178.65;162.88;1.59;3.093;-3.311;-1.558
;-178.65;162.88;-1.008;2.595;0.154;2.622
;-178.65;162.87;4.108;0.005;3.613;1.795
;-178.65;162.87;4.941;1.302;-1.572;-0.372
;-178.65;162.86;0.451;0.06;-1.702;1.829
;-178.65;162.86;-1.559;3.485;-0.435;3.027
;-178.65;162.85;-0.114;-0.008;-0.683;-1.336
;-178.65;162.85;4.117;0.006;-2.636;-2.725
;-178.65;162.84;2.42;2.849;-2.571;-1.351
;-178.65;162.84;0.448;0.017;-1.956;0.65
;-178.65;162.83;-1.171;-0.495;-1.304;1.963
;-178.65;162.83;-0.246;0.263;-1.353;-2.364
